etngrp_src,lft_src,oplniv_src,etngrp_dst,lft_dst,oplniv_dst,n
Autochtoon,"[20,30)",3,Autochtoon,"[70,80)",1,4580
Autochtoon,"[20,30)",3,Autochtoon,"[70,80)",2,4370
Autochtoon,"[20,30)",3,Autochtoon,"[70,80)",3,7160
Autochtoon,"[20,30)",3,Autochtoon,"[80,120]",1,3760
Autochtoon,"[20,30)",3,Autochtoon,"[80,120]",2,1960
Autochtoon,"[20,30)",3,Autochtoon,"[80,120]",3,2050
Autochtoon,"[20,30)",3,Marokkaans,"[0,20)",1,8870
Autochtoon,"[20,30)",3,Marokkaans,"[0,20)",2,400
Autochtoon,"[20,30)",3,Marokkaans,"[20,30)",1,1070
Autochtoon,"[20,30)",3,Marokkaans,"[20,30)",2,3470
Autochtoon,"[20,30)",3,Marokkaans,"[20,30)",3,1310
Autochtoon,"[20,30)",3,Marokkaans,"[30,40)",1,1790
Autochtoon,"[20,30)",3,Marokkaans,"[30,40)",2,2880
