lft_src,etngrp_src,lft_dst,etngrp_dst,n
"[20,30)",Autochtoon,"[20,30)",Turks,7060
"[20,30)",Autochtoon,"[30,40)",Autochtoon,115800
"[20,30)",Autochtoon,"[30,40)",Marokkaans,11670
"[20,30)",Autochtoon,"[30,40)",Overig,113500
"[20,30)",Autochtoon,"[30,40)",Surinaams,9380
"[20,30)",Autochtoon,"[30,40)",Turks,7880
"[20,30)",Autochtoon,"[40,50)",Autochtoon,65380
"[20,30)",Autochtoon,"[40,50)",Marokkaans,8620
"[20,30)",Autochtoon,"[40,50)",Overig,43710
"[20,30)",Autochtoon,"[40,50)",Surinaams,7790
"[20,30)",Autochtoon,"[40,50)",Turks,5190
"[20,30)",Autochtoon,"[50,60)",Autochtoon,67570
"[20,30)",Autochtoon,"[50,60)",Marokkaans,5250
"[20,30)",Autochtoon,"[50,60)",Overig,34210
"[20,30)",Autochtoon,"[50,60)",Surinaams,8890
"[20,30)",Autochtoon,"[50,60)",Turks,4740
"[20,30)",Autochtoon,"[60,70)",Autochtoon,52310
"[20,30)",Autochtoon,"[60,70)",Marokkaans,4140
"[20,30)",Autochtoon,"[60,70)",Overig,20410
"[20,30)",Autochtoon,"[60,70)",Surinaams,5890
"[20,30)",Autochtoon,"[60,70)",Turks,1310
"[20,30)",Autochtoon,"[70,80)",Autochtoon,29970
"[20,30)",Autochtoon,"[70,80)",Marokkaans,1210
"[20,30)",Autochtoon,"[70,80)",Overig,9180
"[20,30)",Autochtoon,"[70,80)",Surinaams,1490
"[20,30)",Autochtoon,"[70,80)",Turks,760
"[20,30)",Autochtoon,"[80,120]",Autochtoon,13750
"[20,30)",Autochtoon,"[80,120]",Marokkaans,110
"[20,30)",Autochtoon,"[80,120]",Overig,1030
"[20,30)",Autochtoon,"[80,120]",Surinaams,350
"[20,30)",Marokkaans,"[0,20)",Autochtoon,13260
"[20,30)",Marokkaans,"[0,20)",Marokkaans,33240
"[20,30)",Marokkaans,"[0,20)",Overig,20430
"[20,30)",Marokkaans,"[0,20)",Surinaams,3630
"[20,30)",Marokkaans,"[0,20)",Turks,9440
"[20,30)",Marokkaans,"[20,30)",Autochtoon,12550
"[20,30)",Marokkaans,"[20,30)",Marokkaans,17890
"[20,30)",Marokkaans,"[20,30)",Overig,10090
"[20,30)",Marokkaans,"[20,30)",Surinaams,4080
"[20,30)",Marokkaans,"[20,30)",Turks,5500
"[20,30)",Marokkaans,"[30,40)",Autochtoon,10240
"[20,30)",Marokkaans,"[30,40)",Marokkaans,12110
"[20,30)",Marokkaans,"[30,40)",Overig,13060
"[20,30)",Marokkaans,"[30,40)",Surinaams,3180
"[20,30)",Marokkaans,"[30,40)",Turks,4840
"[20,30)",Marokkaans,"[40,50)",Autochtoon,6680
"[20,30)",Marokkaans,"[40,50)",Marokkaans,12280
"[20,30)",Marokkaans,"[40,50)",Overig,9810
"[20,30)",Marokkaans,"[40,50)",Surinaams,2850
"[20,30)",Marokkaans,"[40,50)",Turks,5730
"[20,30)",Marokkaans,"[50,60)",Autochtoon,8730
"[20,30)",Marokkaans,"[50,60)",Marokkaans,9300
"[20,30)",Marokkaans,"[50,60)",Overig,6650
"[20,30)",Marokkaans,"[50,60)",Surinaams,3370
"[20,30)",Marokkaans,"[50,60)",Turks,4010
"[20,30)",Marokkaans,"[60,70)",Autochtoon,7710
"[20,30)",Marokkaans,"[60,70)",Marokkaans,4180
"[20,30)",Marokkaans,"[60,70)",Overig,5160
"[20,30)",Marokkaans,"[60,70)",Surinaams,2070
"[20,30)",Marokkaans,"[60,70)",Turks,1840
"[20,30)",Marokkaans,"[70,80)",Autochtoon,4060
"[20,30)",Marokkaans,"[70,80)",Marokkaans,1400
"[20,30)",Marokkaans,"[70,80)",Overig,1620
"[20,30)",Marokkaans,"[70,80)",Surinaams,350
"[20,30)",Marokkaans,"[70,80)",Turks,460
"[20,30)",Marokkaans,"[80,120]",Marokkaans,40
"[20,30)",Overig,"[0,20)",Autochtoon,68360
"[20,30)",Overig,"[0,20)",Marokkaans,15740
"[20,30)",Overig,"[0,20)",Overig,56560
"[20,30)",Overig,"[0,20)",Surinaams,9770
"[20,30)",Overig,"[0,20)",Turks,13930
"[20,30)",Overig,"[20,30)",Autochtoon,100880
"[20,30)",Overig,"[20,30)",Marokkaans,10260
"[20,30)",Overig,"[20,30)",Overig,5351220
"[20,30)",Overig,"[20,30)",Surinaams,14860
"[20,30)",Overig,"[20,30)",Turks,10750
"[20,30)",Overig,"[30,40)",Autochtoon,68290
"[20,30)",Overig,"[30,40)",Marokkaans,11110
"[20,30)",Overig,"[30,40)",Overig,64540
"[20,30)",Overig,"[30,40)",Surinaams,9020
"[20,30)",Overig,"[30,40)",Turks,8390
"[20,30)",Overig,"[40,50)",Autochtoon,43480
"[20,30)",Overig,"[40,50)",Marokkaans,10050
"[20,30)",Overig,"[40,50)",Overig,50230
"[20,30)",Overig,"[40,50)",Surinaams,9200
"[20,30)",Overig,"[40,50)",Turks,5080
"[20,30)",Overig,"[50,60)",Autochtoon,55670
"[20,30)",Overig,"[50,60)",Marokkaans,4110
"[20,30)",Overig,"[50,60)",Overig,22850
"[20,30)",Overig,"[50,60)",Surinaams,10000
"[20,30)",Overig,"[50,60)",Turks,4560
"[20,30)",Overig,"[60,70)",Autochtoon,34710
"[20,30)",Overig,"[60,70)",Marokkaans,2620
"[20,30)",Overig,"[60,70)",Overig,14340
"[20,30)",Overig,"[60,70)",Surinaams,8250
"[20,30)",Overig,"[60,70)",Turks,1010
"[20,30)",Overig,"[70,80)",Autochtoon,23780
"[20,30)",Overig,"[70,80)",Marokkaans,1150
"[20,30)",Overig,"[70,80)",Overig,6340
"[20,30)",Overig,"[70,80)",Surinaams,1140
"[20,30)",Overig,"[70,80)",Turks,1560
"[20,30)",Overig,"[80,120]",Autochtoon,5560
"[20,30)",Surinaams,"[0,20)",Autochtoon,11690
"[20,30)",Surinaams,"[0,20)",Marokkaans,7030
"[20,30)",Surinaams,"[0,20)",Overig,14670
"[20,30)",Surinaams,"[0,20)",Surinaams,7520
"[20,30)",Surinaams,"[0,20)",Turks,3060
"[20,30)",Surinaams,"[20,30)",Autochtoon,13110
"[20,30)",Surinaams,"[20,30)",Marokkaans,4040
"[20,30)",Surinaams,"[20,30)",Overig,15480
"[20,30)",Surinaams,"[20,30)",Surinaams,6390
"[20,30)",Surinaams,"[20,30)",Turks,1980
"[20,30)",Surinaams,"[30,40)",Autochtoon,7670
"[20,30)",Surinaams,"[30,40)",Marokkaans,3430
"[20,30)",Surinaams,"[30,40)",Overig,9610
"[20,30)",Surinaams,"[30,40)",Surinaams,5120
"[20,30)",Surinaams,"[30,40)",Turks,1970
"[20,30)",Surinaams,"[40,50)",Autochtoon,6020
"[20,30)",Surinaams,"[40,50)",Marokkaans,2810
"[20,30)",Surinaams,"[40,50)",Overig,7280
"[20,30)",Surinaams,"[40,50)",Surinaams,4620
"[20,30)",Surinaams,"[40,50)",Turks,1480
"[20,30)",Surinaams,"[50,60)",Autochtoon,7690
"[20,30)",Surinaams,"[50,60)",Marokkaans,2070
"[20,30)",Surinaams,"[50,60)",Overig,7410
"[20,30)",Surinaams,"[50,60)",Surinaams,5580
"[20,30)",Surinaams,"[50,60)",Turks,1380
"[20,30)",Surinaams,"[60,70)",Autochtoon,6880
"[20,30)",Surinaams,"[60,70)",Marokkaans,1290
"[20,30)",Surinaams,"[60,70)",Overig,4110
"[20,30)",Surinaams,"[60,70)",Surinaams,3390
"[20,30)",Surinaams,"[60,70)",Turks,340
"[20,30)",Surinaams,"[70,80)",Autochtoon,4050
"[20,30)",Surinaams,"[70,80)",Marokkaans,250
"[20,30)",Surinaams,"[70,80)",Overig,1170
"[20,30)",Surinaams,"[70,80)",Surinaams,740
"[20,30)",Surinaams,"[70,80)",Turks,10
"[20,30)",Turks,"[0,20)",Autochtoon,9860
"[20,30)",Turks,"[0,20)",Marokkaans,14000
"[20,30)",Turks,"[0,20)",Overig,11050
"[20,30)",Turks,"[0,20)",Surinaams,2050
"[20,30)",Turks,"[0,20)",Turks,10000
"[20,30)",Turks,"[20,30)",Autochtoon,7020
"[20,30)",Turks,"[20,30)",Marokkaans,5500
"[20,30)",Turks,"[20,30)",Overig,10170
"[20,30)",Turks,"[20,30)",Surinaams,1960
"[20,30)",Turks,"[20,30)",Turks,7650
"[20,30)",Turks,"[30,40)",Autochtoon,5720
"[20,30)",Turks,"[30,40)",Marokkaans,4690
"[20,30)",Turks,"[30,40)",Overig,7580
"[20,30)",Turks,"[30,40)",Surinaams,1620
"[20,30)",Turks,"[30,40)",Turks,11690
"[20,30)",Turks,"[40,50)",Autochtoon,4940
"[20,30)",Turks,"[40,50)",Marokkaans,5320
"[20,30)",Turks,"[40,50)",Overig,4860
"[20,30)",Turks,"[40,50)",Surinaams,2000
"[20,30)",Turks,"[40,50)",Turks,6930
"[20,30)",Turks,"[50,60)",Autochtoon,6180
"[20,30)",Turks,"[50,60)",Marokkaans,3460
"[20,30)",Turks,"[50,60)",Overig,4720
"[20,30)",Turks,"[50,60)",Surinaams,2160
"[20,30)",Turks,"[50,60)",Turks,2940
"[20,30)",Turks,"[60,70)",Autochtoon,5400
"[20,30)",Turks,"[60,70)",Marokkaans,1990
"[20,30)",Turks,"[60,70)",Overig,5010
"[20,30)",Turks,"[60,70)",Surinaams,1270
"[20,30)",Turks,"[60,70)",Turks,950
"[20,30)",Turks,"[70,80)",Autochtoon,4230
"[20,30)",Turks,"[70,80)",Marokkaans,1180
"[20,30)",Turks,"[70,80)",Overig,550
"[20,30)",Turks,"[70,80)",Surinaams,110
"[20,30)",Turks,"[70,80)",Turks,860
"[30,40)",Autochtoon,"[0,20)",Autochtoon,102320
"[30,40)",Autochtoon,"[0,20)",Marokkaans,18250
"[30,40)",Autochtoon,"[0,20)",Overig,62290
"[30,40)",Autochtoon,"[0,20)",Surinaams,8470
"[30,40)",Autochtoon,"[0,20)",Turks,9100
"[30,40)",Autochtoon,"[20,30)",Autochtoon,119000
"[30,40)",Autochtoon,"[20,30)",Marokkaans,10070
"[30,40)",Autochtoon,"[20,30)",Overig,67500
"[30,40)",Autochtoon,"[20,30)",Surinaams,7640
"[30,40)",Autochtoon,"[20,30)",Turks,5790
"[30,40)",Autochtoon,"[30,40)",Autochtoon,137770
"[30,40)",Autochtoon,"[30,40)",Marokkaans,11390
"[30,40)",Autochtoon,"[30,40)",Overig,112880
"[30,40)",Autochtoon,"[30,40)",Surinaams,9310
"[30,40)",Autochtoon,"[30,40)",Turks,7070
"[30,40)",Autochtoon,"[40,50)",Autochtoon,84080
"[30,40)",Autochtoon,"[40,50)",Marokkaans,8470
"[30,40)",Autochtoon,"[40,50)",Overig,50700
"[30,40)",Autochtoon,"[40,50)",Surinaams,8460
"[30,40)",Autochtoon,"[40,50)",Turks,5340
"[30,40)",Autochtoon,"[50,60)",Autochtoon,70230
"[30,40)",Autochtoon,"[50,60)",Marokkaans,5460
"[30,40)",Autochtoon,"[50,60)",Overig,32010
"[30,40)",Autochtoon,"[50,60)",Surinaams,8450
"[30,40)",Autochtoon,"[50,60)",Turks,5180
"[30,40)",Autochtoon,"[60,70)",Autochtoon,57760
"[30,40)",Autochtoon,"[60,70)",Marokkaans,3150
"[30,40)",Autochtoon,"[60,70)",Overig,21810
"[30,40)",Autochtoon,"[60,70)",Surinaams,5610
"[30,40)",Autochtoon,"[60,70)",Turks,1800
"[30,40)",Autochtoon,"[70,80)",Autochtoon,33650
"[30,40)",Autochtoon,"[70,80)",Marokkaans,1420
"[30,40)",Autochtoon,"[70,80)",Overig,8650
"[30,40)",Autochtoon,"[70,80)",Surinaams,1550
"[30,40)",Autochtoon,"[70,80)",Turks,1030
"[30,40)",Autochtoon,"[80,120]",Autochtoon,13090
"[30,40)",Autochtoon,"[80,120]",Marokkaans,30
"[30,40)",Autochtoon,"[80,120]",Overig,1610
"[30,40)",Autochtoon,"[80,120]",Surinaams,310
"[30,40)",Marokkaans,"[0,20)",Autochtoon,15430
"[30,40)",Marokkaans,"[0,20)",Marokkaans,27010
"[30,40)",Marokkaans,"[0,20)",Overig,16070
"[30,40)",Marokkaans,"[0,20)",Surinaams,3840
"[30,40)",Marokkaans,"[0,20)",Turks,9080
"[30,40)",Marokkaans,"[20,30)",Autochtoon,11790
"[30,40)",Marokkaans,"[20,30)",Marokkaans,11850
"[30,40)",Marokkaans,"[20,30)",Overig,11290
"[30,40)",Marokkaans,"[20,30)",Surinaams,3210
"[30,40)",Marokkaans,"[20,30)",Turks,4620
"[30,40)",Marokkaans,"[30,40)",Autochtoon,11170
"[30,40)",Marokkaans,"[30,40)",Marokkaans,12740
"[30,40)",Marokkaans,"[30,40)",Overig,13380
"[30,40)",Marokkaans,"[30,40)",Surinaams,3220
"[30,40)",Marokkaans,"[30,40)",Turks,5030
"[30,40)",Marokkaans,"[40,50)",Autochtoon,7720
"[30,40)",Marokkaans,"[40,50)",Marokkaans,9280
"[30,40)",Marokkaans,"[40,50)",Overig,8800
"[30,40)",Marokkaans,"[40,50)",Surinaams,2970
"[30,40)",Marokkaans,"[40,50)",Turks,4410
"[30,40)",Marokkaans,"[50,60)",Autochtoon,9910
"[30,40)",Marokkaans,"[50,60)",Marokkaans,5750
"[30,40)",Marokkaans,"[50,60)",Overig,6600
"[30,40)",Marokkaans,"[50,60)",Surinaams,3470
"[30,40)",Marokkaans,"[50,60)",Turks,3500
"[30,40)",Marokkaans,"[60,70)",Autochtoon,8620
"[30,40)",Marokkaans,"[60,70)",Marokkaans,2540
"[30,40)",Marokkaans,"[60,70)",Overig,4250
"[30,40)",Marokkaans,"[60,70)",Surinaams,1840
"[30,40)",Marokkaans,"[60,70)",Turks,1620
"[30,40)",Marokkaans,"[70,80)",Autochtoon,6870
"[30,40)",Marokkaans,"[70,80)",Marokkaans,1440
"[30,40)",Marokkaans,"[70,80)",Overig,1070
"[30,40)",Marokkaans,"[70,80)",Surinaams,230
"[30,40)",Marokkaans,"[70,80)",Turks,1700
"[30,40)",Overig,"[0,20)",Autochtoon,86170
"[30,40)",Overig,"[0,20)",Marokkaans,26430
"[30,40)",Overig,"[0,20)",Overig,76840
"[30,40)",Overig,"[0,20)",Surinaams,14420
"[30,40)",Overig,"[0,20)",Turks,20780
"[30,40)",Overig,"[20,30)",Autochtoon,119330
"[30,40)",Overig,"[20,30)",Marokkaans,14110
"[30,40)",Overig,"[20,30)",Overig,67710
"[30,40)",Overig,"[20,30)",Surinaams,10540
"[30,40)",Overig,"[20,30)",Turks,7930
"[30,40)",Overig,"[30,40)",Autochtoon,113390
"[30,40)",Overig,"[30,40)",Marokkaans,13570
"[30,40)",Overig,"[30,40)",Overig,721450
"[30,40)",Overig,"[30,40)",Surinaams,14160
"[30,40)",Overig,"[30,40)",Turks,10860
"[30,40)",Overig,"[40,50)",Autochtoon,84440
"[30,40)",Overig,"[40,50)",Marokkaans,10460
"[30,40)",Overig,"[40,50)",Overig,57550
"[30,40)",Overig,"[40,50)",Surinaams,12450
"[30,40)",Overig,"[40,50)",Turks,7100
"[30,40)",Overig,"[50,60)",Autochtoon,61850
"[30,40)",Overig,"[50,60)",Marokkaans,5820
"[30,40)",Overig,"[50,60)",Overig,49680
"[30,40)",Overig,"[50,60)",Surinaams,10690
"[30,40)",Overig,"[50,60)",Turks,5120
"[30,40)",Overig,"[60,70)",Autochtoon,75440
"[30,40)",Overig,"[60,70)",Marokkaans,3420
"[30,40)",Overig,"[60,70)",Overig,23630
"[30,40)",Overig,"[60,70)",Surinaams,8790
"[30,40)",Overig,"[60,70)",Turks,1580
"[30,40)",Overig,"[70,80)",Autochtoon,25350
"[30,40)",Overig,"[70,80)",Marokkaans,3780
"[30,40)",Overig,"[70,80)",Overig,7440
"[30,40)",Overig,"[70,80)",Surinaams,2120
"[30,40)",Overig,"[70,80)",Turks,350
"[30,40)",Overig,"[80,120]",Autochtoon,3420
"[30,40)",Surinaams,"[0,20)",Autochtoon,12390
"[30,40)",Surinaams,"[0,20)",Marokkaans,6950
"[30,40)",Surinaams,"[0,20)",Overig,14980
"[30,40)",Surinaams,"[0,20)",Surinaams,7750
"[30,40)",Surinaams,"[0,20)",Turks,3320
"[30,40)",Surinaams,"[20,30)",Autochtoon,9620
"[30,40)",Surinaams,"[20,30)",Marokkaans,3140
"[30,40)",Surinaams,"[20,30)",Overig,9040
"[30,40)",Surinaams,"[20,30)",Surinaams,5060
"[30,40)",Surinaams,"[20,30)",Turks,1610
"[30,40)",Surinaams,"[30,40)",Autochtoon,9300
"[30,40)",Surinaams,"[30,40)",Marokkaans,3500
"[30,40)",Surinaams,"[30,40)",Overig,16520
"[30,40)",Surinaams,"[30,40)",Surinaams,7110
